fout,mag,phase
1350.00001,0.965184948626862,15.1631443529846
1360.00001,0.96617201372193,14.9454034423717
1370.00001,0.967114901788252,14.7344725604492
1380.00001,0.968016276204896,14.5300303288244
1390.00001,0.968878601206391,14.331775204571
1400.00001,0.969704159468956,14.1394239900848
1410.00001,0.970495067920399,13.9527104734466
1420.00001,0.971253291974305,13.771384186352
1430.00001,0.971980658364197,13.5952092680923
1440.00001,0.972678866731837,13.423963425316
1450.00001,0.973349500105139,13.2574369784106
1460.00001,0.973994034384953,13.0954319863106
1470.00001,0.97461384694585,12.9377614424042
1480.00001,0.975210224443771,12.7842485349708
1490.00001,0.975784369912636,12.6347259662558
1500.00001,0.976337409222661,12.4890353248897
1510.00001,0.976870396964885,12.3470265068918
1520.00001,0.977384321819229,12.2085571809704
1530.00001,0.977880111457076,12.0734922942558
1540.00001,0.978358637023775,11.9417036149761
1550.00001,0.978820717241612,11.813069308926
1560.00001,0.979267122169421,11.6874735468742
1570.00001,0.979698576651216,11.56480614033
1580.00001,0.980115763482833,11.4449622033244
1590.00001,0.980519326322586,11.3278418380837
1600.00001,0.980909872369264,11.2133498426629
1610.00001,0.98128797482847,11.1013954387832
1620.00001,0.981654175186169,10.9918920182764
1630.00001,0.982008985306459,10.8847569066778
1640.00001,0.982352889368935,10.7799111426389
1650.00001,0.982686345659469,10.6772792719478
1660.00001,0.983009788226975,10.5767891550465
1670.00001,0.983323628417469,10.4783717870323
1680.00001,0.983628256295717,10.381961129213
1690.00001,0.983924041963778,10.2874939513662
1700.00001,0.984211336784912,10.1949096839206
1710.00001,0.98449047452053,10.1041502793432
1720.00001,0.984761772387185,10.0151600820745
1730.00001,0.985025532039972,9.92788570640393
1740.00001,0.985282040488139,9.84227592173141
1750.00001,0.985531570948199,9.75828154469887
1760.00001,0.985774383639381,9.67585533772022
1770.00001,0.986010726525838,9.59495191347269
1780.00001,0.986240836009653,9.51552764494681
1790.00001,0.98646493757833,9.43754058068268
1800.00001,0.986683246410176,9.36095036484821
1810.00001,0.986895967940676,9.28571816184122
1820.00001,0.987103298392703,9.21180658512025
1830.00001,0.987305425273194,9.13917962999093
1840.00001,0.987502527838703,9.06780261009492
1850.00001,0.987694777532029,8.9976420973659
1860.00001,0.987882338391974,8.92866586523497
1870.00001,0.98806536743811,8.86084283488245
1880.00001,0.988244015032271,8.79414302434773
1890.00001,0.988418425218387,8.72853750032196
1900.00001,0.988588736042123,8.66399833246036
1910.00001,0.988755079851699,8.60049855006226
1920.00001,0.988917583581132,8.53801210097736
1930.00001,0.989076369017088,8.47651381260599
1940.00001,0.989231553050411,8.41597935487026
1950.00001,0.98938324791333,8.35638520504132
1960.00001,0.989531561403273,8.2977086143149
1970.00001,0.989676597094157,8.23992757603509
1980.00001,0.989818454535933,8.18302079547239
1990.00001,0.989957229443149,8.12696766106802
2000.00001,0.990093013873203,8.07174821706255
2010.00001,0.990225896394936,8.01734313743168
2020.00001,0.990355962248166,7.96373370105698
2030.00001,0.990483293494702,7.91090176806409
2040.00001,0.990607969161365,7.8588297572647
2050.00001,0.990730065375511,7.80750062464299
2060.00001,0.990849655493474,7.75689784283038
2070.00001,0.990966810222377,7.70700538151627
2080.00001,0.991081597735691,7.65780768874518
2090.00001,0.991194083782903,7.60928967305404
2100.00001,0.99130433179365,7.56143668640589
2110.00001,0.991412402976619,7.51423450787885
2120.00001,0.991518356413521,7.46766932807175
2130.00001,0.991622249148435,7.42172773418988
2140.00001,0.991724136272743,7.37639669577657
2150.00001,0.991824071005951,7.33166355105811
2160.00001,0.991922104772584,7.28751599387169
2170.00001,0.992018287275397,7.2439420611472
2180.00001,0.992112666565092,7.20093012091609
2190.00001,0.99220528910674,7.15846886082108
2200.00001,0.992296199843068,7.11654727710304
2210.00001,0.992385442254809,7.07515466404159
2220.00001,0.99247305841824,7.03428060382802
2230.00001,0.992559089060076,6.99391495685001
2240.00001,0.992643573609856,6.95404785236845
2250.00001,0.99272655024995,6.91466967956846
2260.00001,0.992808055963305,6.87577107896677
2270.00001,0.992888126579057,6.8373429341593
2280.00001,0.992966796816113,6.79937636389303
2290.00001,0.993044100324802,6.76186271444775
2300.00001,0.993120069726704,6.72479355231323
2310.00001,0.99319473665273,6.68816065714881
2320.00001,0.993268131779566,6.6519560150126
2330.00001,0.993340284864535,6.61617181184845
2340.00001,0.993411224778972,6.58080042721907
2350.00001,0.993480979540185,6.54583442827485
2360.00001,0.993549576342055,6.51126656394767
2370.00001,0.993617041584359,6.47708975936031
2380.00001,0.993683400900871,6.44329711044193
2390.00001,0.993748679186293,6.40988187874089
2400.00001,0.993812900622078,6.37683748642659
2410.00001,0.9938760887012,6.34415751147207
2420.00001,0.993938266251909,6.31183568301012
2430.00001,0.993999455460532,6.27986587685527
2440.00001,0.99405967789335,6.24824211118516
2450.00001,0.994118954517613,6.2169585423743
2460.00001,0.994177305721702,6.18600946097438
2470.00001,0.994234751334518,6.15538928783467
2480.00001,0.994291310644087,6.12509257035735
2490.00001,0.994347002415455,6.09511397888182
2500.00001,0.994401844907887,6.06544830319324
2510.00001,0.99445585589139,6.03609044915
2520.00001,0.994509052662624,6.00703543542567
2530.00001,0.994561452060185,5.97827839036074
2540.00001,0.994613070479326,5.94981454891991
2550.00001,0.994663923886112,5.9216392497508
2560.00001,0.994714027831049,5.8937479323402
2570.00001,0.994763397462208,5.86613613426399
2580.00001,0.994812047537856,5.83879948852717
2590.00001,0.994859992438628,5.81173372099077
2600.00001,0.99490724617925,5.78493464788184
2610.00001,0.994953822419837,5.75839817338411
2620.00001,0.994999734476777,5.73212028730552
2630.00001,0.995044995333228,5.70609706282031
2640.00001,0.99508961764924,5.68032465428274
2650.00001,0.995133613771507,5.65479929510967
2660.00001,0.995176995742784,5.62951729572963
2670.00001,0.995219775310966,5.6044750415958
2680.00001,0.995261963937851,5.57966899126081
2690.00001,0.995303572807595,5.55509567451088
2700.00001,0.995344612834875,5.53075169055727
2710.00001,0.99538509467277,5.506633706283
2720.00001,0.995425028720374,5.48273845454286
2730.00001,0.995464425130143,5.45906273251486
2740.00001,0.995503293814997,5.43560340010116
2750.00001,0.995541644455181,5.41235737837697
2760.00001,0.995579486504894,5.38932164808555
2770.00001,0.995616829198701,5.36649324817784
2780.00001,0.99565368155772,5.34386927439508
2790.00001,0.995690052395617,5.32144687789302
