fout,mag,phase
3.05059997174779e-05,1,-6.58929584132708e-07
3.19466513468723e-05,1,-6.90047660414054e-07
3.3455338023028e-05,1,-7.22635280180423e-07
3.50352727139473e-05,1,-7.56761868579403e-07
3.66898201206565e-05,1,-7.92500107646575e-07
3.8422503842827e-05,1,-8.29926063527699e-07
4.02370138827936e-05,1,-8.69119491811968e-07
4.21372145039522e-05,1,-9.10163812087569e-07
4.4127152460271e-05,1,-9.53146489608241e-07
4.62110656144433e-05,1,-9.98159009848841e-07
4.83933919630322e-05,1,-1.04529726017191e-06
5.06787790878319e-05,1,-1.09466161888319e-06
5.30720940535688e-05,1,-1.14635722239823e-06
5.55784337730254e-05,1,-1.20049416879788e-06
5.82031358616584e-05,1,-1.25718773410603e-06
6.09517900048276e-05,1,-1.31655865217838e-06
6.38302498618456e-05,1,-1.37873339459129e-06
6.68446455321975e-05,1,-1.44384433603058e-06
7.00013966104806e-05,1,-1.51203016140261e-06
7.33072258578662e-05,1,-1.58343605666746e-06
7.67691735191984e-05,0.999999999999999,-1.65821414139444e-06
8.03946123162207e-05,1,-1.73652360870647e-06
8.41912631488612e-05,1,-1.81853127233548e-06
8.81672115380134e-05,0.999999999999999,-1.90441177017793e-06
9.23309248448299e-05,0.999999999999999,-1.99434795868355e-06
9.66912703032019e-05,0.999999999999999,-2.08853143446636e-06
0.000101257533903824,0.999999999999999,-2.18716271241569e-06
0.000106039440170067,0.999999999999999,-2.29045191269603e-06
0.000111047172867762,0.999999999999999,-2.39861893885805e-06
0.000116291396693016,0.999999999999999,-2.51189415211622e-06
0.000121783279984235,0.999999999999999,-2.63051882934867e-06
0.000127534518506727,0.999999999999999,-2.75474559565264e-06
0.000133557360360537,0.999999999999999,-2.88483898412211e-06
0.000139864632064562,0.999999999999999,-3.02107604651426e-06
0.000146469765872487,0.999999999999999,-3.16374693847157e-06
0.000153386828378729,0.999999999999998,-3.31315549202166e-06
0.0001606305504753,0.999999999999998,-3.46961988985486e-06
0.000168216358723379,0.999999999999998,-3.63347335232403e-06
0.000176160408206432,0.999999999999998,-3.80506481172218e-06
0.000184479616934805,0.999999999999998,-3.98475971378219e-06
0.000193191701875097,0.999999999999997,-4.17294074284335e-06
0.000202315216681018,0.999999999999997,-4.37000867423995e-06
0.000211869591206099,0.999999999999997,-4.57638316307889e-06
0.000221875172882392,0.999999999999996,-4.79250372385049e-06
0.000232353270053293,0.999999999999996,-5.01883063370603e-06
